Trial,category,sub_trial,x1,x2,x3,x4,x5,x6,x7,x8,average,average_circ,bincorrect,bincorrect_circ
0,-75.0,0,-57,-89,-68,-65,-80,-69,-89,-62,-72.375,-72.34693689788793,False,False
1,-75.0,1,-66,-84,52,-90,-79,-72,-85,-69,-61.625,-70.89448808660572,False,False
2,-75.0,2,-83,-76,-56,-35,-88,-86,-71,-75,-71.25,-71.51855140538785,False,False
3,-75.0,3,-78,-71,-83,-74,-89,-75,-63,63,-58.75,-70.09988805125201,False,False
4,-75.0,4,78,-76,-79,-66,-65,-77,-82,-80,-55.875,-70.73045358266853,False,False
5,-75.0,5,-54,-87,-70,-72,-87,-85,-32,-85,-71.5,-71.85546975265251,False,False
6,-75.0,6,-81,-80,-68,-86,-54,81,-74,-89,-56.375,-72.3078974649583,False,False
7,-75.0,7,-72,-58,-76,-53,-85,-54,-77,-85,-70.0,-70.02210464860839,False,False
8,-75.0,8,-60,-64,-66,-89,-83,-73,-85,-70,-73.75,-73.73898209925596,False,False
9,-75.0,9,-90,-86,-59,-88,-51,78,-74,-75,-55.625,-70.36060695962175,False,False
10,-75.0,10,-74,-85,-86,-74,-90,-40,-89,67,-58.875,-71.53813060531456,False,False
11,-75.0,11,-78,-89,-54,-79,-23,-79,-71,-85,-69.75,-70.3572509507234,False,False
12,-75.0,12,-90,-84,31,-65,-85,-66,-75,-83,-64.625,-70.14069647494814,False,False
13,-75.0,13,-43,-86,-82,-71,-53,-80,-78,-81,-71.75,-71.91033857477235,False,False
14,-75.0,14,-86,-67,-63,-82,-77,-84,-35,-67,-70.125,-70.35086867364812,False,False
15,-75.0,15,-90,-85,-87,-83,-6,-82,-65,-51,-68.625,-70.11591852263089,False,False
16,-75.0,16,-89,-84,33,-80,-87,-89,-72,-51,-64.875,-70.82602758166284,False,False
17,-75.0,17,-76,-61,77,-86,-49,-81,-89,-88,-56.625,-71.41471372876002,False,False
18,-75.0,18,-77,-89,-66,-79,-89,-65,-68,83,-56.25,-72.71855520082248,False,False
19,-75.0,19,75,-81,-80,-89,-79,-84,-87,-31,-57.0,-71.76120413382908,False,False
20,-75.0,20,-63,-69,-50,-62,-78,-84,-78,-83,-70.875,-70.91040066199555,False,False
21,-75.0,21,-88,-79,-82,-70,-83,-82,40,-70,-64.25,-71.46146995340713,False,False
22,-75.0,22,-74,-55,-86,-56,-88,-88,-76,77,-55.75,-70.21728847778252,False,False
23,-75.0,23,-77,-85,-86,-76,-83,-73,-56,67,-58.625,-71.06813749346097,False,False
24,-75.0,24,84,-87,-88,-84,-55,-88,-55,-67,-55.0,-71.40739939424697,False,False
